country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","18-04-2026 17:00:00",13.428828,77.731418,CO,26,49,39
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","18-04-2026 17:00:00",29.695300,77.002700,PM2.5,17,261,160
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","18-04-2026 17:00:00",29.966942,76.875879,PM2.5,74,246,155
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","18-04-2026 17:00:00",28.360699,76.936090,PM10,65,123,95
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","18-04-2026 17:00:00",28.360699,76.936090,OZONE,10,51,38
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC","18-04-2026 17:00:00",34.06313,74.96017,PM10,NA,NA,NA
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC","18-04-2026 17:00:00",34.066206,74.819820,PM2.5,11,30,17
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","18-04-2026 17:00:00",16.172806,75.659694,CO,2,50,26
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","18-04-2026 17:00:00",15.888653,74.541751,PM2.5,23,87,50
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","18-04-2026 17:00:00",12.9352049,77.6814488,CO,35,40,38
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","18-04-2026 17:00:00",12.9352049,77.6814488,OZONE,12,35,33
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","18-04-2026 17:00:00",12.889250,74.853000,OZONE,15,68,37
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","18-04-2026 17:00:00",12.21041,76.37376,PM10,50,107,76
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","18-04-2026 17:00:00",24.58434363,80.8549414,PM10,69,72,70
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","18-04-2026 17:00:00",24.58434363,80.8549414,NO2,12,13,12
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","18-04-2026 17:00:00",24.108970,82.645580,SO2,41,78,55
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","18-04-2026 17:00:00",20.719516,77.000253,PM10,60,113,81
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","18-04-2026 17:00:00",20.719516,77.000253,NH3,4,12,6
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","18-04-2026 17:00:00",20.719516,77.000253,CO,18,29,19
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB","18-04-2026 17:00:00",19.2157840,73.1997810,PM2.5,25,56,37
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB","18-04-2026 17:00:00",19.2157840,73.1997810,NO2,21,58,33
